Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Days in Shelter,is_adopted,Has Name,age_at_intake,intake_month,intake_dayofweek
Dog,Male,Yes,American Pit Bull Terrier,Chocolate,Missing,20.0,1,1,3781.0,6,0
Dog,Male,Unknown,Coonhound,Rust,White,0.0,0,1,212.0,6,5
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,30.0,1,1,1461.0,5,4
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,64.0,1,0,14.0,4,1
Dog,Female,No,American Staffordshire Terrier,Blue,White,25.0,0,0,2192.0,5,0
Cat,Male,Yes,Domestic Shorthair,Black,Missing,28.0,1,1,365.0,7,3
Cat,Male,Yes,Domestic Shorthair,Grey Tabby,White,3.0,1,1,3141.0,8,4
Cat,Male,Yes,Domestic Shorthair,Black,Tabby,68.0,1,0,28.0,5,4
Dog,Male,Yes,Siberian Husky,Black,Tan,46.0,1,1,335.0,6,1
Dog,Unknown,Unknown,Catahoula Leopard Dog,Black,White,3.0,0,0,122.0,6,6
Cat,Female,Yes,Domestic Shorthair,Torbie,Missing,80.0,1,1,40.0,5,4
Kitten,Female,No,Domestic Shorthair,Orange Tabby,White,0.0,0,0,21.0,9,5
Cat,Unknown,Unknown,Domestic Shorthair,Orange,Missing,10.0,0,0,122.0,6,2
Dog,Male,Yes,American Pit Bull Terrier,Blue,Missing,47.0,1,1,188.0,7,1
Cat,Male,Yes,Domestic Shorthair,Blue,Missing,68.0,1,0,28.0,5,4
Cat,Unknown,Unknown,Domestic Shorthair,Black,White,3.0,0,0,365.0,7,0
Dog,Female,Yes,German Shepherd,Red Brown,Black,28.0,1,1,38.0,4,2
Dog,Female,Unknown,German Shepherd,Brown,Black,0.0,0,1,731.0,7,3
Kitten,Male,No,Domestic Shorthair,Black,White,0.0,0,1,1.0,9,3
Dog,Female,No,Labrador Retriever,Tri Color,Missing,12.0,0,0,21.0,6,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,88.0,1,0,11.0,4,1
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,29.0,1,1,35.0,5,0
Puppy,Female,No,German Shepherd,Black,Missing,10.0,0,0,44.0,8,0
Cat,Male,No,Domestic Shorthair,Blue,White,12.0,0,0,1829.0,8,5
